industry_id:ID(Industry-ID),name,:LABEL
industry_a2fac045945aa8bb,IT服务,Industry
industry_d1ebe8dcc9bb9f16,"IT服务,IT服务",Industry
industry_77062e065f753688,"IT服务,IT服务,云计算/大数据,互联网",Industry
industry_cbfb3b11996bd404,"IT服务,IT服务,计算机软件,专业技术服务",Industry
industry_107da78593b1e94e,"IT服务,IT服务,通信/网络设备,互联网",Industry
industry_3efd569030c81fc9,"IT服务,IT服务,通信/网络设备,电子/半导体/集成电路",Industry
industry_b916bc2995c9fe47,"IT服务,专业技术服务",Industry
industry_b34e12e43d767575,"IT服务,云计算/大数据",Industry
industry_ea3e4dbddf7f17ad,"IT服务,云计算/大数据,IT服务,计算机软件",Industry
industry_4dd57e6823b7fb99,"IT服务,云计算/大数据,计算机软件,人工智能",Industry
industry_13a97f3258360b51,"IT服务,云计算/大数据,计算机软件,通信/网络设备",Industry
industry_be49e542523d1544,"IT服务,互联网",Industry
industry_3448ac18f205e526,"IT服务,互联网,云计算/大数据,专业技术服务",Industry
industry_e6fc41fecea4aa88,"IT服务,互联网,咨询服务",Industry
industry_0d66b40b99801763,"IT服务,互联网,计算机硬件,计算机软件",Industry
industry_9a5afbe2f299d84d,"IT服务,互联网,计算机软件",Industry
industry_a4d0ed65fa39884f,"IT服务,互联网,运营商/增值服务,证券/期货",Industry
industry_4835c6d00e2ecc9c,"IT服务,互联网,运营商/增值服务,通信/网络设备",Industry
industry_12d0756cb3750aa0,"IT服务,人力资源服务",Industry
industry_a67309b45c99d9c5,"IT服务,人工智能",Industry
industry_6a4a9ab487c62885,"IT服务,人工智能,IT服务,互联网",Industry
industry_30f54dc2ecc40fa9,"IT服务,人工智能,云计算/大数据,通信/网络设备",Industry
industry_1882b4d3c29860d1,"IT服务,人工智能,物联网,计算机硬件",Industry
industry_49cecaae780215f3,"IT服务,仪器仪表制造,计算机软件,物联网",Industry
industry_712af9582e6de73f,"IT服务,企业服务",Industry
industry_b0284afde896d35a,"IT服务,医疗设备/器械,计算机软件,计算机硬件",Industry
industry_cae8d1bba6cbbf7f,"IT服务,客运服务,快速消费品,互联网",Industry
industry_1e16329ebce6a64d,"IT服务,工程技术与设计服务,运营商/增值服务,云计算/大数据",Industry
industry_b1b6892558acec7a,"IT服务,广告/营销,电力/水利/热力/燃气,广播/影视",Industry
industry_b58cc0581e64f0b1,"IT服务,检测/认证,船舶/航空/航天/火车制造",Industry
industry_f05e133bbcfa0824,"IT服务,物联网,计算机软件",Industry
industry_2b158b2682550628,"IT服务,电力/水利/热力/燃气",Industry
industry_b6a5f79fbee38478,"IT服务,电力/水利/热力/燃气,电气机械/电力设备,石油/石化",Industry
industry_d651688958224120,"IT服务,电力/水利/热力/燃气,通信/网络设备,互联网",Industry
industry_f74cf60fdcccbf2a,"IT服务,电子/半导体/集成电路",Industry
industry_d914a5b039673a77,"IT服务,电子/半导体/集成电路,计算机软件",Industry
industry_c8df9d5d33df9a5f,"IT服务,电子商务",Industry
industry_845dbed95794ee77,"IT服务,网络/信息安全",Industry
industry_1b70a17ead8b70d2,"IT服务,网络/信息安全,云计算/大数据,计算机硬件",Industry
industry_19659c9bfcf02e31,"IT服务,网络/信息安全,计算机软件,物联网",Industry
industry_51092e2086259104,"IT服务,计算机硬件",Industry
industry_0cc2ba01e53570f4,"IT服务,计算机硬件,专业技术服务,通信/网络设备",Industry
industry_60ef59393f35f702,"IT服务,计算机硬件,电子/半导体/集成电路,电力/水利/热力/燃气",Industry
industry_4be487d2e4470863,"IT服务,计算机硬件,计算机软件",Industry
industry_4db7fd1b12b1a99c,"IT服务,计算机硬件,计算机软件,互联网",Industry
industry_bedfe56619f9dcdd,"IT服务,计算机硬件,计算机软件,咨询服务",Industry
industry_0d84c8f7917b7ac9,"IT服务,计算机硬件,计算机软件,电子/半导体/集成电路",Industry
industry_7abb02f23b3034ea,"IT服务,计算机硬件,计算机软件,通信/网络设备",Industry
industry_c42efc2f2c5b6e1c,"IT服务,计算机硬件,通信/网络设备",Industry
industry_1019e5f7295c1c67,"IT服务,计算机硬件,通信/网络设备,专业技术服务",Industry
industry_d2624f949680948c,"IT服务,计算机软件",Industry
industry_16753dbefbb8e876,"IT服务,计算机软件,IT服务",Industry
industry_fb025d7abc8decc7,"IT服务,计算机软件,云计算/大数据,人工智能",Industry
industry_b1007a14a3fe4d03,"IT服务,计算机软件,互联网",Industry
industry_ba1fd88d0428c22f,"IT服务,计算机软件,互联网,云计算/大数据",Industry
industry_adff3ef3295e56a6,"IT服务,计算机软件,互联网,电子/半导体/集成电路",Industry
industry_de0181e580d6e79d,"IT服务,计算机软件,互联网,社团/组织/社会保障",Industry
industry_0abb8cd203b308be,"IT服务,计算机软件,互联网,通信/网络设备",Industry
industry_0ea23cb5b3390775,"IT服务,计算机软件,企业服务,云计算/大数据",Industry
industry_7907d7b70ab0a071,"IT服务,计算机软件,咨询服务,IT服务",Industry
industry_213d4f0b93ca90db,"IT服务,计算机软件,电子/半导体/集成电路",Industry
industry_4446a828b8167ca4,"IT服务,计算机软件,矿产/采掘",Industry
industry_3216e7ebb4a12eed,"IT服务,计算机软件,网络/信息安全,检测/认证",Industry
industry_59ff21a327d33f2b,"IT服务,计算机软件,计算机硬件",Industry
industry_158827993f396a57,"IT服务,计算机软件,计算机硬件,互联网",Industry
industry_a884c0db7b9c94c5,"IT服务,计算机软件,计算机硬件,企业服务",Industry
industry_972fa80ab4c81cd5,"IT服务,计算机软件,计算机硬件,通信/网络设备",Industry
industry_baa22c3e6530575b,"IT服务,计算机软件,运营商/增值服务,计算机硬件",Industry
industry_2b9766052388af5c,"IT服务,计算机软件,运营商/增值服务,通信/网络设备",Industry
industry_1abb0ffe44a3b363,"IT服务,计算机软件,通信/网络设备,互联网",Industry
industry_1d5858bd3b56dac1,"IT服务,计算机软件,通信/网络设备,电子/半导体/集成电路",Industry
industry_219e4f793d781b8e,"IT服务,计算机软件,通信/网络设备,计算机硬件",Industry
industry_69c817dad03ce4bf,"IT服务,证券/期货,互联网",Industry
industry_aef229931993de82,"IT服务,运营商/增值服务",Industry
industry_fba82c1faa57ea51,"IT服务,运营商/增值服务,云计算/大数据,网络/信息安全",Industry
industry_c3648974154c7eaa,"IT服务,运营商/增值服务,计算机软件,通信/网络设备",Industry
industry_7c671d97196583b2,"IT服务,运营商/增值服务,通信/网络设备",Industry
industry_7e3792bddced09e6,"IT服务,通信/网络设备,IT服务,互联网",Industry
industry_d55bf28b1b34e20f,"IT服务,通信/网络设备,计算机软件,电子/半导体/集成电路",Industry
industry_d2c063f337e67c7c,专业技术服务,Industry
industry_129ff22fb9328544,"专业技术服务,IT服务",Industry
industry_69512f96f2cf68cd,"专业技术服务,IT服务,物业管理,专业技术服务",Industry
industry_cfefbabf213c6431,"专业技术服务,IT服务,计算机硬件,计算机软件",Industry
industry_4170263606f0ffa1,"专业技术服务,IT服务,计算机软件,互联网",Industry
industry_a83cc763349362d3,"专业技术服务,专业技术服务",Industry
industry_5cc25be47d672131,"专业技术服务,互联网",Industry
industry_4f63bf863ab6b1b8,"专业技术服务,人工智能,云计算/大数据,IT服务",Industry
industry_b4b1d03f119781fc,"专业技术服务,咨询服务,工程技术与设计服务",Industry
industry_c1fbd8830db54469,"专业技术服务,工程技术与设计服务,专业技术服务,咨询服务",Industry
industry_1975bbb50d54f785,"专业技术服务,物联网",Industry
industry_f26a0e5348abeadb,"专业技术服务,物联网,计算机硬件,电力/水利/热力/燃气",Industry
industry_4d5dd9af5b7c8aa6,"专业技术服务,物联网,计算机软件,电子/半导体/集成电路",Industry
industry_8f8cc3eee684a125,"专业技术服务,电子商务,云计算/大数据,专业技术服务",Industry
industry_1466d1d521dc87e2,"专业技术服务,石油/石化,人工智能,物联网",Industry
industry_6be0160b524760a4,"专业技术服务,证券/期货,投资/融资,计算机软件",Industry
industry_4b541583c4a90d24,"专业技术服务,运营商/增值服务,居民服务,咨询服务",Industry
industry_51ed32ded27bb27e,"专业技术服务,通信/网络设备,IT服务,网络/信息安全",Industry
industry_c63577551e485394,"专利/商标/知识产权,专业技术服务,文化艺术/娱乐,云计算/大数据",Industry
industry_55cdbbb202bd20a2,"专利/商标/知识产权,专利/商标/知识产权",Industry
industry_264cf1d101d91518,专用设备制造,Industry
industry_8d844f74f83c2a5f,"专用设备制造,专用设备制造",Industry
industry_5b1e8323cdad37c5,"专用设备制造,专用设备制造,工业自动化,光电子行业",Industry
industry_698295c911503f0c,"专用设备制造,人工智能,专用设备制造,工业自动化",Industry
industry_a5a8d8b4f08c4826,"专用设备制造,医疗设备/器械",Industry
industry_9e13637b8a4710f6,"专用设备制造,工业自动化,专用设备制造,通用设备制造",Industry
industry_cc0162f27d5209bf,"专用设备制造,电子/半导体/集成电路",Industry
industry_ffed59c3c5eb7faf,"专用设备制造,计算机软件",Industry
industry_03017041a1bb209f,"专用设备制造,邮政/快递",Industry
industry_bf6626f4d96eb9fc,云计算/大数据,Industry
industry_ab3b1b642907a5b3,"云计算/大数据,IT服务",Industry
industry_1aabc04cc2e991c0,"云计算/大数据,IT服务,计算机软件,计算机硬件",Industry
industry_44a36fcb0f0ed38a,"云计算/大数据,云计算/大数据,网络/信息安全",Industry
industry_c589bb17878ff37d,"云计算/大数据,云计算/大数据,计算机软件,计算机硬件",Industry
industry_fac0de325788b8f9,"云计算/大数据,互联网",Industry
industry_56497356ca1173f6,"云计算/大数据,人工智能",Industry
industry_848aa42fc4f5efd5,"云计算/大数据,建筑设备安装,工程施工,物联网",Industry
industry_368b16baa09e60dd,"云计算/大数据,新媒体",Industry
industry_fde829a30b550055,"云计算/大数据,新能源",Industry
industry_191e928d62ec1993,"云计算/大数据,网络/信息安全,IT服务,计算机硬件",Industry
industry_2bf3313955903e81,"云计算/大数据,计算机软件,人工智能,网络/信息安全",Industry
industry_8f0963ec9c4fb042,"云计算/大数据,计算机软件,检测/认证,物联网",Industry
industry_f27b59fafea3e9ff,互联网,Industry
industry_71fc4a0fa16a3b7a,"互联网,IT服务",Industry
industry_8f362bfdd2551d42,"互联网,IT服务,互联网",Industry
industry_c23db19e866f92a0,"互联网,IT服务,卫生服务",Industry
industry_8a120b12f74e5a92,"互联网,IT服务,电子/半导体/集成电路",Industry
industry_2b1c4b77b41b4285,"互联网,IT服务,网络/信息安全,互联网",Industry
industry_1f659f7eb580612c,"互联网,IT服务,计算机硬件,计算机软件",Industry
industry_dd2785e67e7675b9,"互联网,IT服务,计算机软件",Industry
industry_91f2d63d71f4f66f,"互联网,IT服务,计算机软件,电子商务",Industry
industry_0310aee56b1a1184,"互联网,IT服务,运营商/增值服务,计算机软件",Industry
industry_c9d754b6be072d67,"互联网,专业技术服务,IT服务",Industry
industry_026a8259a2bea16f,"互联网,云计算/大数据",Industry
industry_1731c1bece7abe4a,"互联网,云计算/大数据,互联网,网络/信息安全",Industry
industry_dece44e51bcef520,"互联网,互联网",Industry
industry_4ac2f8bcb588769c,"互联网,互联网,人工智能",Industry
industry_ecdb4cb9a6b54216,"互联网,互联网,在线生活服务（O2O）,云计算/大数据",Industry
industry_c84dedf1cf501104,"互联网,人力资源服务",Industry
industry_18a5e247599038bf,"互联网,人工智能,云计算/大数据",Industry
industry_ae4a1b945d3e0978,"互联网,企业服务",Industry
industry_8fcbb83d7aaa0407,"互联网,企业服务,IT服务,电子商务",Industry
industry_1bb8f67607d5b655,"互联网,企业服务,互联网",Industry
industry_83aab5938be92730,"互联网,企业服务,计算机软件,互联网",Industry
industry_848abeef01c7407b,"互联网,卫生服务,贸易/进出口,计算机软件",Industry
industry_b2ac7fc47f23be1c,"互联网,咨询服务,互联网,云计算/大数据",Industry
industry_635122fe85a8e3a0,"互联网,咨询服务,学术/科研,社团/组织/社会保障",Industry
industry_178523105852c374,"互联网,咨询服务,计算机软件",Industry
industry_95d83edc566e0248,"互联网,在线生活服务（O2O）",Industry
industry_6106cc8de35af1e2,"互联网,培训/辅导服务,咨询服务,房地产中介",Industry
industry_27ef3d6085cc49f9,"互联网,广播/影视",Industry
industry_be84963f705e49a8,"互联网,房地产中介",Industry
industry_54025496a556f5d2,"互联网,游戏",Industry
industry_f90cc432f150bced,"互联网,物联网,云计算/大数据",Industry
industry_37195dc89a981c82,"互联网,物联网,互联网",Industry
industry_1d60c52a6b4cf8b8,"互联网,物联网,人工智能,通信/网络设备",Industry
industry_102be531ba2c6bc0,"互联网,电子/半导体/集成电路,互联网",Industry
industry_e5ef6eecfdba2d3b,"互联网,电子/半导体/集成电路,社团/组织/社会保障,IT服务",Industry
industry_dd18b6f04218c662,"互联网,电子商务",Industry
industry_233cc5eb332b3cb1,"互联网,电子商务,咨询服务",Industry
industry_ed424450772376f9,"互联网,电子商务,计算机软件,IT服务",Industry
industry_2eed8513f5f0bbfc,"互联网,网络/信息安全",Industry
industry_12316fed2d463c03,"互联网,计算机硬件,计算机软件,IT服务",Industry
industry_a3d08750994a4244,"互联网,计算机硬件,计算机软件,电子/半导体/集成电路",Industry
industry_cf8e812d8b19cc7c,"互联网,计算机软件",Industry
industry_8eb66270f22befe9,"互联网,计算机软件,IT服务",Industry
industry_f3380896340c3da5,"互联网,计算机软件,IT服务,网络/信息安全",Industry
industry_f7f50c9220e740fd,"互联网,计算机软件,互联网,IT服务",Industry
industry_c24b6112f3d0c924,"互联网,计算机软件,物联网,居民服务",Industry
industry_3089aaf83219bb93,"互联网,计算机软件,网络/信息安全",Industry
industry_c6ae0c6df594613f,"互联网,计算机软件,网络/信息安全,通信/网络设备",Industry
industry_661c747ceb858695,"互联网,计算机软件,船舶/航空/航天/火车制造,电子/半导体/集成电路",Industry
industry_5ac5246460502314,"互联网,计算机软件,计算机硬件,通信/网络设备",Industry
industry_fef321269326d5d3,"互联网,贸易/进出口",Industry
industry_a9022604f69c5fd4,"互联网,运营商/增值服务,电子商务,IT服务",Industry
industry_3842ee3e43958041,"互联网,运营商/增值服务,计算机软件",Industry
industry_70d48ee151d5f750,"互联网,运营商/增值服务,通信/网络设备",Industry
industry_a1438975db00efa1,"互联网,通信/网络设备,运营商/增值服务,IT服务",Industry
industry_18b5b1293cbd4a2e,"互联网,零售/批发",Industry
industry_47ddc4f2efcea7a0,"互联网,零售/批发,证券/期货,计算机软件",Industry
industry_47177ac07f7c77d2,互联网金融/小额贷款,Industry
industry_509b8e3bfd504487,"互联网金融/小额贷款,互联网",Industry
industry_bbfa4047818efb28,"互联网金融/小额贷款,互联网金融/小额贷款",Industry
industry_4ded0541b052ab99,人力资源服务,Industry
industry_f52bc719d8e8ec2f,"人力资源服务,人力资源服务",Industry
industry_80b57721c53efc5d,"人力资源服务,人力资源服务,快速消费品,电子商务",Industry
industry_185ce25ce73f8fdf,"人力资源服务,人工智能,企业服务",Industry
industry_630e495ed233be01,"人力资源服务,企业服务",Industry
industry_47536bf9955fe8cb,"人力资源服务,卫生服务,专业技术服务",Industry
industry_f4afe65bcab69525,"人力资源服务,咨询服务",Industry
industry_3f7581b20003f96e,"人力资源服务,咨询服务,培训/辅导服务,人力资源服务",Industry
industry_6f92cd9236c62272,"人力资源服务,在线招聘/求职,新能源,环保",Industry
industry_81e8bfffd7757979,"人力资源服务,新能源,环保,电力/水利/热力/燃气",Industry
industry_9ddd4bbd469d4a45,"人力资源服务,电子/半导体/集成电路,电气机械/电力设备,工业自动化",Industry
industry_ef85aa1f2fc20209,"人力资源服务,电气机械/电力设备",Industry
industry_f068f0dad74789be,人工智能,Industry
industry_535ccc74f737d16c,"人工智能,IT服务",Industry
industry_abe8f28842884fa9,"人工智能,IT服务,云计算/大数据,计算机软件",Industry
industry_68c0ee3447fdb643,"人工智能,云计算/大数据,企业服务",Industry
industry_17b0bed33272561d,"人工智能,云计算/大数据,计算机硬件,计算机软件",Industry
industry_09bf482d0251f7ca,"人工智能,互联网",Industry
industry_65ec2b4bb8bb7c2e,"人工智能,互联网,电子商务,人工智能",Industry
industry_a3b3e7a3fd857e39,"人工智能,人工智能,工业自动化,云计算/大数据",Industry
industry_70723fcf04a95b4a,"人工智能,人工智能,物联网,智能硬件",Industry
industry_ac1f87c029ba9812,"人工智能,企业服务",Industry
industry_8f90e99091585585,"人工智能,工业自动化",Industry
industry_88524e2cf46b8bfe,"人工智能,工业自动化,人工智能,物联网",Industry
industry_3872b7e46400a52a,"人工智能,工业自动化,物联网,云计算/大数据",Industry
industry_9d24754c6e46297b,"人工智能,智能硬件",Industry
industry_2f8360e4121cc67c,"人工智能,智能硬件,人工智能,电子/半导体/集成电路",Industry
industry_65c51762e4b4b67c,"人工智能,消费电子产品,智能硬件",Industry
industry_fe8571699d5ba879,"人工智能,电子/半导体/集成电路,人工智能",Industry
industry_479fd78d3cf2d07b,"人工智能,电子商务",Industry
industry_41902aa2cc15eab3,"人工智能,电子商务,计算机软件",Industry
industry_00caa2daf719a18a,"人工智能,翻译服务",Industry
industry_b5a3286d89a49050,"人工智能,计算机硬件,计算机软件,云计算/大数据",Industry
industry_a4f391e14e0c2a7b,"人工智能,计算机软件",Industry
industry_f4787a33860248d4,"人工智能,计算机软件,学术/科研",Industry
industry_7aca385c04077176,"人工智能,零售/批发,云计算/大数据,科学技术推广",Industry
industry_bfd4c25f0ae65d42,仪器仪表制造,Industry
industry_4073fc2ac1e85176,"仪器仪表制造,互联网",Industry
industry_e277f09ea3044bef,"仪器仪表制造,互联网,仪器仪表制造,物联网",Industry
industry_c7ddb45482c1f6ba,"仪器仪表制造,互联网,计算机软件,电子/半导体/集成电路",Industry
industry_9ffd5fe39fdf5115,"仪器仪表制造,仪器仪表制造",Industry
industry_13d353de348f2fd7,"仪器仪表制造,仪器仪表制造,IT服务,电子/半导体/集成电路",Industry
industry_659e2f73414faea6,"仪器仪表制造,仪器仪表制造,人工智能,船舶/航空/航天/火车制造",Industry
industry_acb0e0b62b491ef9,"仪器仪表制造,仪器仪表制造,工业自动化",Industry
industry_54585547b61373a3,"仪器仪表制造,仪器仪表制造,电子设备制造,计算机软件",Industry
industry_194f21fe87f6c771,"仪器仪表制造,电力/水利/热力/燃气,计算机软件,电子/半导体/集成电路",Industry
industry_1e2af4b2bf41c3f9,"仪器仪表制造,电子/半导体/集成电路",Industry
industry_802053851b5a91bc,"仪器仪表制造,电子/半导体/集成电路,仪器仪表制造,计算机软件",Industry
industry_8f4b06adb67aeb51,"仪器仪表制造,电子/半导体/集成电路,学术/科研,船舶/航空/航天/火车制造",Industry
industry_6c948380c8977b75,"仪器仪表制造,电子/半导体/集成电路,电力/水利/热力/燃气,学术/科研",Industry
industry_138f0a0702b54bdf,"仪器仪表制造,电子/半导体/集成电路,石油/石化,IT服务",Industry
industry_08442272d23935d3,"仪器仪表制造,电子/半导体/集成电路,计算机硬件,计算机软件",Industry
industry_cbc14bb6ad4820a8,"仪器仪表制造,电子设备制造",Industry
industry_ae490a0495542118,"仪器仪表制造,电气机械/电力设备,仪器仪表制造,计算机软件",Industry
industry_c09a0a3bcbbc4500,"仪器仪表制造,电气机械/电力设备,汽车研发/制造",Industry
industry_02f3a51ccb809a84,"仪器仪表制造,计算机硬件,IT服务,互联网",Industry
industry_1b62dd58f918fbe7,"仪器仪表制造,计算机硬件,电子/半导体/集成电路",Industry
industry_bc21a7fcb7e444aa,"仪器仪表制造,计算机软件",Industry
industry_2816b231e76f958b,"仪器仪表制造,计算机软件,检测/认证,电子/半导体/集成电路",Industry
industry_004f7ba874aab03e,"仪器仪表制造,计算机软件,电子/半导体/集成电路",Industry
industry_0817a422b315f5fb,"仪器仪表制造,计算机软件,计算机硬件,学术/科研",Industry
industry_68ae06af7fed671f,"仪器仪表制造,通信/网络设备,专用设备制造,学术/科研",Industry
industry_da89135649a6533f,企业服务,Industry
industry_c12fe74b5d8243ca,"企业服务,互联网",Industry
industry_0aaefe5f13753d16,"企业服务,互联网,咨询服务,专业技术服务",Industry
industry_2a9afada391701a2,"企业服务,互联网,运营商/增值服务,银行",Industry
industry_d2ecb1471aa8742d,"企业服务,企业服务",Industry
industry_31cd567a76fed913,"企业服务,企业服务,IT服务,新媒体",Industry
industry_7c5452649182e40f,"企业服务,企业服务,电子商务,互联网",Industry
industry_7f22abcf3da0731d,"企业服务,旅游服务,企业服务",Industry
industry_1ff6f8395f3d6638,"企业服务,网络/信息安全,IT服务",Industry
industry_3a89bd8022148190,"企业服务,运营商/增值服务,互联网,银行",Industry
industry_5d12fdeb32863d21,休闲/娱乐,Industry
industry_11ececa2aa03f1a9,会议/展览,Industry
industry_b73b757f8ac049aa,保险,Industry
industry_72c0b4fba8a936f4,"保险,证券/期货",Industry
industry_5eea7cfe501df8fe,"保险,证券/期货,计算机软件,IT服务",Industry
industry_d1f51090e6299ecc,"保险,银行,汽车金融,互联网金融/小额贷款",Industry
industry_e0440ce8146ab67f,农/林/牧/渔,Industry
industry_8991f2892f8d6453,"农/林/牧/渔,农/林/牧/渔",Industry
industry_8a0914a90d0deed9,"化学纤维制造业,学术/科研,工业自动化,化学纤维制造业",Industry
industry_364abb3cc39cc03e,"医疗检测,生物工程",Industry
industry_66a8d52316dd979b,医疗设备/器械,Industry
industry_edf5b6f666c97ae5,"医疗设备/器械,人工智能",Industry
industry_b6c036afd1011b9f,"医疗设备/器械,人工智能,云计算/大数据,计算机软件",Industry
industry_464dd4c4da19212a,"医疗设备/器械,人工智能,医疗设备/器械",Industry
industry_ec9b5697ff967ae7,"医疗设备/器械,仪器仪表制造,金属制品业,医药制造",Industry
industry_f23741ba1e7ad07a,"医疗设备/器械,医疗设备/器械",Industry
industry_a0bf02796396cd37,"医疗设备/器械,学术/科研",Industry
